text,labels,use_case
Host a simple static website for booking system,"S3,CloudFront,IAM,SNS",static_website
Process video files uploaded by users,"S3,Lambda,IAM,SQS,API_Gateway",file_processing
Build a medium web application with OAuth and image storage,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Create a RESTful API that handles updates and stores data in transaction history,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront,Cognito",api_service
Create a login system for customers,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Develop a serverless API for analytics,"Lambda,API_Gateway,DynamoDB,IAM,S3,CloudFront",serverless
Develop a mobile backend for social networking with user data,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Attach SSD storage to application server,"EC2,EBS,VPC,IAM",web_application
Develop a web platform for inventory management with chat functionality,"EC2,VPC,IAM,S3,RDS,CloudFront,SQS",web_application
Develop a web platform for inventory management with real-time updates,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Develop a mobile backend for social networking with user data,"API_Gateway,Lambda,Cognito,SNS,IAM,SQS",mobile_backend
Deploy a landing page with payment processing,"S3,CloudFront,IAM,RDS",static_website
Deploy a landing page with file sharing,"S3,CloudFront,IAM",static_website
Create an event-driven system that handles webhooks,"Lambda,API_Gateway,DynamoDB,IAM,S3,ECS",serverless
Create a batch batch processing system for inventory management,"Lambda,S3,IAM,SQS,ECS",data_processing
Develop a serverless API for ETL,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Build an analytics dashboard for IoT sensors,"S3,Lambda,RDS,IAM,API_Gateway",analytics_platform
Create a login system for employees,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Create a Angular website that needs transaction history and global content delivery,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Create a high-traffic mobile API with login system and email alerts,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Build a backend for a mobile app that needs real-time updates,"API_Gateway,Lambda,Cognito,SNS,IAM",mobile_backend
Create a Next.js website that needs product catalog and global content delivery,"EC2,VPC,IAM,RDS,CloudFront",web_application
Deploy a containerized microservices application,"ECS,VPC,IAM",web_application
Develop a streaming data platform for analytics,"Lambda,S3,IAM,SQS",data_processing
Build a GraphQL API for e-commerce with analytics data,"Lambda,IAM,DynamoDB,CloudFront,SQS",api_service
Build a file conversion service for PDF to text,"S3,Lambda,IAM,SQS",file_processing
Develop a serverless API for machine learning,"Lambda,DynamoDB,IAM,S3,VPC",serverless
Create a large-scale mobile API with login system and email alerts,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM,EC2",mobile_backend
Deploy a landing page with chat functionality,"S3,CloudFront,IAM",static_website
Develop a web platform for booking system with chat functionality,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Build a medium web application with user authentication and document storage,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Build a user authentication system with email/password,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Build an analytics dashboard for user behavior,"S3,Lambda,RDS,IAM,EBS",analytics_platform
Create a reporting system for revenue,"S3,Lambda,RDS,IAM,Cognito",analytics_platform
Build a microservices API for booking system with product catalog,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Develop a streaming data platform for IoT devices,"Lambda,S3,IAM,SQS",data_processing
Host a simple static website for booking system,"S3,CloudFront,IAM",static_website
Develop a mobile backend for messaging with analytics data,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Build a file conversion service for video transcoding,"S3,Lambda,SQS",file_processing
Create a login system for customers,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Create a hourly batch processing system for social media,"Lambda,S3,IAM,SQS,SNS",data_processing
Build a backend for a mobile app that needs payment processing,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Create a live tracking system,"API_Gateway,Lambda,DynamoDB,IAM,RDS",real_time_app
Build a file conversion service for video transcoding,"S3,Lambda,IAM",file_processing
Create a Vue.js website that needs product catalog and fast page loads,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Host a simple static website for booking system,"S3,CloudFront,IAM,API_Gateway",static_website
Create a RESTful API that handles updates and stores data in product catalog,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Build an analytics dashboard for IoT sensors,"S3,Lambda,RDS,IAM",analytics_platform
Build a small web application with user authentication and file uploads,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Build a user authentication system with social login,"Cognito,IAM,DynamoDB",authentication_system
Develop a web platform for social media with file sharing,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Create a RESTful API that handles tracking and stores data in user data,"API_Gateway,Lambda,IAM,CloudFront",api_service
Create a login system for customers,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Develop a small API gateway for booking system,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront,EBS",api_service
Develop a web platform for e-commerce with real-time updates,"EC2,VPC,IAM,S3,RDS,CloudFront,Lambda",web_application
Create a reporting system for system performance,"S3,Lambda,RDS,IAM",analytics_platform
Build a user authentication system with social login,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Create a live tracking system,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Build a file conversion service for image resize,"S3,Lambda,IAM,SQS",file_processing
Create a live notifications system,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Build a data pipeline to process CSV files and store in media storage,"Lambda,S3,IAM,SQS",data_processing
Build a serverless application for CRM,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Develop a mobile backend for messaging with transaction history,"API_Gateway,DynamoDB,Cognito,SNS,IAM",mobile_backend
Create persistent storage for EC2 workloads,"EC2,EBS,VPC,IAM,S3",web_application
Develop a streaming data platform for ETL,"Lambda,S3,IAM,SQS",data_processing
Create a reporting system for revenue,"S3,Lambda,RDS,IAM,ECS",analytics_platform
Create a login system for students,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Deploy a landing page with payment processing,"S3,CloudFront,IAM",static_website
Create a login system for employees,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Deploy a basic landing page with no backend,"S3,CloudFront,IAM",static_website
Create a login system for students,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Create a daily batch processing system for CRM,"Lambda,S3,IAM,SQS,CloudFront",data_processing
Develop a mobile backend for e-commerce with transaction history,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM,S3",mobile_backend
Create a live messaging system,"API_Gateway,Lambda,DynamoDB,IAM,RDS",real_time_app
Create a large-scale mobile API with OAuth and push notifications,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM,ECS",mobile_backend
Build a data pipeline to process CSV files and store in file uploads,"Lambda,S3,IAM",data_processing
Archive old documents and files,"S3,IAM",data_processing
Create a login system for customers,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Build a user authentication system with multi-factor authentication,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Process Excel files uploaded by users,"S3,Lambda,IAM,SQS",file_processing
Create a high-traffic mobile API with OAuth and email alerts,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Create an event-driven system that generates reports,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Develop a mobile backend for messaging with product catalog,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM,CloudFront",mobile_backend
Develop a mobile backend for fitness tracking with transaction history,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Create a reporting system for revenue,"Lambda,RDS,IAM",analytics_platform
Build a backend for a mobile app that needs real-time updates,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Develop a large-scale API gateway for booking system,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront,S3",api_service
Create a live notifications system,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Host a simple static website for e-commerce,"S3,CloudFront,IAM",static_website
Build a file conversion service for image resize,"S3,Lambda,IAM,SQS",file_processing
Build a Kubernetes-based application with multiple services,"ECS,VPC,IAM,RDS,S3",web_application
Develop a serverless API for IoT devices,"Lambda,API_Gateway,DynamoDB,IAM,S3,EBS",serverless
Build a real-time fitness tracking application,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Create a login system for students,"Cognito,Lambda,IAM,DynamoDB,SNS",authentication_system
Build a serverless application for e-commerce,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Create a Angular website that needs product catalog and fast page loads,"EC2,VPC,IAM,S3,RDS,CloudFront,API_Gateway",web_application
Create a reporting system for user engagement,"S3,Lambda,RDS,IAM",analytics_platform
Deploy a landing page with real-time updates,"S3,CloudFront,IAM",static_website
Create a medium mobile API with OAuth and SMS notifications,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Develop a serverless API for analytics,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Develop a streaming data platform for machine learning,"Lambda,S3,IAM,SQS",data_processing
Build a user authentication system with multi-factor authentication,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Process streaming events in real-time,"Lambda,IAM,SQS",data_processing
Build an analytics dashboard for IoT sensors,"S3,RDS,IAM",analytics_platform
Build a real-time messaging application,"API_Gateway,Lambda,IAM",real_time_app
Build a file conversion service for PDF to text,"S3,Lambda,IAM,SQS",file_processing
Create an event-driven system that processes uploads,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Deploy a landing page with real-time updates,"S3,IAM,EC2",static_website
Create a login system for students,"Cognito,Lambda,DynamoDB",authentication_system
Build a high-traffic web application with login system and file uploads,"EC2,VPC,IAM,S3,RDS,CloudFront,ECS",web_application
Develop a web platform for CRM with real-time updates,"EC2,IAM,S3,RDS,CloudFront",web_application
Develop a small API gateway for booking system,"API_Gateway,Lambda,DynamoDB,CloudFront,SQS",api_service
Build a file conversion service for PDF to text,"S3,Lambda,IAM,SQS",file_processing
Process Excel files uploaded by users,"S3,Lambda,IAM,SQS",file_processing
Build a real-time messaging application,"API_Gateway,Lambda,IAM",real_time_app
Build a file conversion service for PDF to text,"S3,Lambda,IAM,SQS",file_processing
Build a file conversion service for image resize,"S3,Lambda,IAM,SQS",file_processing
Build an analytics dashboard for sales data,"S3,Lambda,RDS,IAM",analytics_platform
Build a large-scale web application with login system and image storage,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Create a live updates system,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Build a file conversion service for image resize,"S3,Lambda,IAM,SQS,ECS",file_processing
Store user data without provisioning servers,"DynamoDB,IAM",database
Build a file conversion service for video transcoding,"S3,Lambda,IAM,SQS,EBS",file_processing
Create an event-driven system that processes uploads,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Build a medium web application with social login and image storage,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Run scalable containerized API services,"ECS,API_Gateway,VPC,IAM",api_service
Develop a serverless API for analytics,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Build a serverless application for inventory management,"Lambda,DynamoDB,IAM,S3",serverless
Develop a streaming data platform for ETL,"Lambda,S3,IAM,SQS",data_processing
Build a serverless application for CRM,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Build a file conversion service for image resize,"S3,Lambda,IAM",file_processing
Store backup files securely in cloud,"S3,IAM",data_processing
Build an analytics dashboard for sales data,"S3,Lambda,RDS,IAM,VPC",analytics_platform
Develop a streaming data platform for analytics,"S3,IAM,SQS,VPC",data_processing
Create a medium mobile API with social login and email alerts,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Build a large-scale web application with OAuth and file uploads,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Build a file conversion service for video transcoding,"S3,Lambda,IAM,SQS",file_processing
Build a serverless API for e-commerce with analytics data,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Build an analytics dashboard for website traffic,"S3,Lambda,RDS,IAM",analytics_platform
Create a live tracking system,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Create an event-driven system that processes uploads,"Lambda,API_Gateway,DynamoDB,IAM,S3,CloudFront",serverless
Create a daily batch processing system for social media,"S3,IAM,SQS,API_Gateway",data_processing
Serve static files for documentation,"S3,CloudFront,IAM",static_website
Process video files uploaded by users,"S3,Lambda,IAM,SQS",file_processing
Build a container-based analytics platform,"ECS,VPC,IAM,RDS,S3",analytics_platform
Develop a serverless API for machine learning,"Lambda,API_Gateway,DynamoDB,IAM,S3,VPC",serverless
Deploy a landing page with chat functionality,"S3,CloudFront,IAM,DynamoDB",static_website
Build a data pipeline to process images and store in media storage,"Lambda,S3,IAM,SQS",data_processing
Develop a mobile backend for fitness tracking with product catalog,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Build an analytics dashboard for IoT sensors,"S3,Lambda,RDS,IAM,API_Gateway",analytics_platform
Host a simple static website for CRM,"S3,CloudFront,IAM",static_website
Create a reporting system for revenue,"S3,Lambda,RDS,IAM",analytics_platform
Build an analytics dashboard for sales data,"S3,Lambda,RDS,IAM,SQS",analytics_platform
Create a RESTful API that handles tracking and stores data in product catalog,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Deploy a landing page with chat functionality,"S3,CloudFront,IAM,API_Gateway",static_website
Build a data pipeline to process logs and store in document storage,"Lambda,S3,IAM,API_Gateway",data_processing
Build an analytics dashboard for website traffic,"S3,Lambda,RDS,IAM,EC2",analytics_platform
Create a login system for employees,"Cognito,Lambda,IAM,DynamoDB,API_Gateway",authentication_system
Build an analytics dashboard for IoT sensors,"S3,Lambda,RDS,IAM",analytics_platform
